city,GEOID,mobility_in_entropy,mobility_in_degree,mobility_in_weight,mobility_in_missing_income_neighbors,mobility_out_entropy,mobility_out_degree,mobility_out_weight,mobility_out_missing_income_neighbors,mentions_in_entropy,mentions_in_degree,mentions_in_weight,mentions_in_missing_income_neighbors,mentions_out_entropy,mentions_out_degree,mentions_out_weight,mentions_out_missing_income_neighbors
Chicago,17031390600,0.8226282661208599,61,86.0,0,0.9909686344549512,109,153.0,0,0.5802792108518124,4,4.0,0,0.38685280723454163,2,2.0,0
Chicago,17031031501,0.922681192603463,92,128.0,0,0.9486175213052692,111,175.0,0,0.8175295903539446,9,9.0,0,0.7435032788101106,5,5.0,0
Chicago,17031062400,0.9370653026071917,140,192.0,0,0.9214953719673178,147,217.0,0,0.38685280723454163,2,2.0,0,0.355245321275764,3,3.0,0
Chicago,17031806700,0.8688468557920545,47,80.0,0,0.886090172998095,63,96.0,0,0.8704188162777186,8,8.0,0,0.7315622998573797,7,9.0,0
Chicago,17097865501,0.7001271976634723,57,84.0,0,0.8825641586450206,35,49.0,0,0.5802792108518124,4,4.0,0,0.5802792108518124,4,4.0,0
Chicago,17197881302,0.9436568817339177,61,90.0,0,0.878836116802694,34,42.0,0,0.5024424688300348,8,8.0,0,0.7435032788101106,4,5.0,0
Chicago,17043841318,0.7782798963134635,43,86.0,0,0.8563209898756908,136,224.0,0,0.8318069382503939,26,34.0,0,0.8354802660671541,49,55.0,0
Chicago,17031802504,0.8342913019053102,53,80.0,0,0.8917287789850955,166,263.0,0,0.5802792108518124,4,4.0,0,0.5644754678724236,6,6.0,0
Chicago,17043843500,0.8578938369549469,126,186.0,0,0.9283099974642882,154,216.0,0,0.8534897229796912,14,15.0,0,0.6439156385193586,6,7.0,0
Chicago,17031803611,0.9276471645859071,40,56.0,0,0.9259649801553099,170,285.0,0,0.5437754171820363,8,8.0,0,0.710490642551528,9,9.0,0
Chicago,17031510200,0.7139671147365109,52,72.0,0,0.8179629037657823,98,124.0,0,0.7127263906780549,7,7.0,0,0.5529957583373238,14,15.0,0
Chicago,17031829800,0.9449871473815497,151,264.0,0,0.9925137246664717,211,382.0,0,0.9606389616258703,22,25.0,0,0.9716259058814692,25,28.0,0
Chicago,17031831100,0.957048644260665,394,624.0,0,0.9612770710579059,370,687.0,0,0.7378055465705499,17,18.0,0,0.6641942334597548,14,16.0,0
Chicago,17031650400,0.8616300828137529,93,159.0,0,0.9484690655850566,157,253.0,0,0.8572356710075932,24,30.0,0,0.7296381605627164,18,26.0,0
Chicago,17097864521,0.7525722716153,138,224.0,0,0.8027482884544465,17,19.0,0,0.5802792108518124,4,4.0,0,0.38685280723454163,3,4.0,0
